idmutation;datemut;valeurfonc;libtypbien;sbatapt;code_postal;nbapt1pp;no_voie;type_voie;voie;commune
000001;03/01/2025;189000.00;Appartement;52;93330;3;11;ALL;DU VAL DE MARNE;NEUILLY-SUR-MARNE
000001;08/01/2025;162000.00;Appartement;43;93700;2;38;AV;JEAN JAURES;DRANCY
000001;06/01/2025;346000.00;Appartement;62;93100;4;13;AV;FAIDHERBE;MONTREUIL
000001;13/01/2025;527670.00;Maison;104;93600;5;38;RUE;DE BIGORRE;AULNAY SOUS BOIS
000001;02/01/2025;142000.00;Appartement;66;93150;4;31;AV;NORMANDIE NIEMEN;LE BLANC-MESNIL
000001;07/01/2025;446149.00;Appartement;69;93200;4;60;ALL;DE SEINE;SAINT-DENIS
000001;07/01/2025;103346.00;Appartement;44;93600;2;11;RUE;DES AULNES;AULNAY SOUS BOIS
000001;08/01/2025;180000.00;Appartement;63;93600;4;8;BD;CHARLES FLOQUET;AULNAY SOUS BOIS
000001;06/01/2025;425730.00;Appartement;58;93400;3;13;RUE;DES ROSIERS;SAINT-OUEN-SUR-SEINE
000001;10/01/2025;365000.00;Appartement;44;93200;3;4;RUE;PINEL;SAINT-DENIS
000001;10/01/2025;365000.00;Appartement;31;93200;1;4;RUE;PINEL;SAINT-DENIS
000001;10/01/2025;365000.00;Appartement;51;93200;3;4;RUE;PINEL;SAINT-DENIS
000001;10/01/2025;379590.00;Appartement;57;93100;3;7;RUE;EMILE ZOLA;MONTREUIL
000001;10/01/2025;289700.00;Appartement;74;93200;3;12;BD;DE LA LIBERATION;SAINT-DENIS
000001;10/01/2025;382343.00;Appartement;70;93100;3;28;RUE;DE L ERMITAGE;MONTREUIL
000001;07/01/2025;132000.00;Appartement;69;93500;3;7;PL;OLYMPE DE GOUGES;PANTIN
000001;09/01/2025;111000.00;Appartement;47;93110;2;91;RUE;VICTOR HUGO;ROSNY-SOUS-BOIS
000001;09/01/2025;182000.00;Appartement;30;93100;1;22;RUE;KLEBER;MONTREUIL
000001;03/01/2025;338000.00;Maison;130;93370;7;13;AV;DES LYS;MONTFERMEIL
000001;07/01/2025;158500.00;Appartement;47;93190;1;40;ALL;DES CHARMILLES;LIVRY-GARGAN
000001;10/01/2025;554000.00;Appartement;84;93400;4;98;RUE;ARDOIN;SAINT-OUEN-SUR-SEINE
000001;15/01/2025;240000.00;Maison;50;93700;3;73;AV;CASTELNAU;DRANCY
000001;09/01/2025;195000.00;Appartement;62;93330;3;2;ALL;MOLIERE;NEUILLY-SUR-MARNE
000001;14/01/2025;404700.00;Maison;84;93250;4;12;RUE;DU BEAU SITE;VILLEMOMBLE
000001;09/01/2025;82000.00;Appartement;33;93110;1;4;RUE;DES POLYANTHAS;ROSNY-SOUS-BOIS
000001;09/01/2025;266000.00;Appartement;114;93340;4;4;VLA;DE MONTFERMEIL;LE RAINCY
